TxtMin_WordBag,FREQUENCY,Value
app,1846,1
social,1621,1
love,708,1
great,401,1
good,380,1
like,356,1
fun,338,1
best,258,1
can,242,1
play,231,1
really,220,1
just,217,1
one,203,1
apps,198,1
get,196,1
time,161,1
awesome,133,1
much,133,1
ever,132,1
make,126,1
nice,112,1
dont,109,1
easy,109,1
now,104,1
playing,101,1
new,100,1
cool,97,1
add,93,1
use,91,1
keep,90,1
please,90,1
phone,89,1
amazing,88,1
well,88,1
will,88,1
works,87,1
worth,82,1
loves,78,1
old,78,1
better,76,1
thing,76,1
way,75,1
even,74,1
need,74,1
also,73,1
loved,72,1
played,67,1
work,67,1
got,63,1
far,62,1
first,62,1
little,62,1
lot,62,1
know,61,1
thank,61,1
thanks,60,1
think,60,1
every,59,1
graphics,59,1
see,58,1
wish,58,1
never,57,1
version,57,1
want,57,1
free,56,1
update,56,1
levels,55,1
omg,54,1
go,52,1
people,51,1
still,51,1
year,50,1
always,49,1
back,48,1
makes,48,1
hard,47,0
try,47,1
download,46,1
addictive,45,0
buy,44,1
things,44,1
android,43,1
challenging,43,1
stars,43,1
level,42,1
perfect,42,1
many,41,1
real,41,1
simple,41,1
excellent,40,1
give,40,1
different,39,1
money,39,1
thats,39,1
going,38,1
lots,38,1
made,38,1
recommend,38,1
since,38,1
used,36,1
doesnt,35,0
favorite,35,1
learn,35,1
getting,33,1
guys,33,1
job,33,1
stop,33,0
keeps,32,1
say,32,1
bought,31,1
didnt,31,1
found,31,1
put,31,1
take,31,1
beat,30,0
enjoy,30,1
find,30,1
help,30,1
long,30,1
problem,30,1
gets,29,1
looking,29,1
bit,28,1
music,28,1
super,28,1
using,28,1
able,27,1
day,27,1
fast,27,1
fix,27,0
tablet,27,1
great,320,1
appgreat,26,1
come,26,1
everything,26,1
making,26,1
option,26,1
support,26,1
useful,26,1
enough,25,1
fantastic,25,1
five,25,1
hope,25,1
must,25,1
paid,25,1
without,25,1
absolutely,24,1
bad,24,0
friends,24,1
hours,24,1
interesting,24,1
learning,24,1
look,24,1
needs,24,1
right,24,1
something,24,1
tried,24,1
weather,24,1
device,23,1
mind,23,1
stuff,23,1
big,22,1
feel,22,1
fine,22,1
galaxy,22,1
helps,22,1
last,22,1
life,22,1
mobile,22,1
pay,22,1
though,22,1
thought,22,1
times,22,1
car,21,1
cute,21,1
fixed,21,1
full,21,1
happy,21,1
highly,21,1
pass,21,1
pretty,21,1
sometimes,21,1
sound,21,1
updates,21,1
word,21,1
world,21,1
addicting,20,1
data,20,1
everyone,20,1
issues,20,0
online,20,1
story,20,1
actually,19,1
almost,19,1
features,19,1
note,19,1
start,19,1
totally,19,1
wont,19,0
yet,19,0
application,18,1
design,18,1
finally,18,1
rate,18,1
star,18,1
waiting,18,1
working,18,1
accurate,17,1
app,17,1
around,17,1
brain,17,1
card,17,1
coins,17,1
developer,17,1
enjoyed,17,1
mode,17,1
nothing,17,1
player,17,1
problems,17,0
quick,17,1
read,17,1
annoying,16,0
bored,16,0
bugs,16,0
change,16,0
controls,16,1
definitely,16,1
funny,16,1
helped,16,1
issue,16,0
kind,16,1
live,16,1
overall,16,1
quite,16,1
someone,16,1
song,16,1
words,16,1
another,15,1
baby,15,1
challenges,15,1
create,15,1
done,15,1
especially,15,1
liked,15,1
man,15,1
power,15,1
puzzles,15,1
racing,15,1
show,15,1
small,15,1
track,15,1
trying,15,1
although,14,1
anyone,14,1
applove,14,1
cause,14,1
downloading,14,1
enjoyable,14,1
glitches,14,1
google,14,1
great,14,1
looks,14,1
options,14,1
original,14,1
others,14,1
pick,14,1
plus,14,1
price,14,1
purchase,14,1
screen,14,1
sister,14,1
solitaire,14,1
started,14,1
wonderful,14,1
brilliant,13,1
easily,13,1
god,13,1
installed,13,1
perfectly,13,1
runs,13,1
save,13,1
says,13,1
smooth,13,1
sure,13,1
takes,13,1
variety,13,1
addicted,12,1
awsome,12,1
beautiful,12,1
character,12,1
colors,12,1
difficult,12,0
finished,12,1
glad,12,1
home,12,1
improve,12,1
install,12,1
interface,12,1
lost,12,0
match,12,1
players,12,1
play,12,1
puzzle,12,1
slots,12,1
songs,12,1
spend,12,1
stuck,12,0
superb,12,1
tool,12,1
worked,12,1
check,11,1
completed,11,1
crazy,11,1
downloaded,11,1
favourite,11,1
helpful,11,1
hidden,11,1
purchased,11,1
quickly,11,1
run,11,1
series,11,1
short,11,1
speed,11,1
team,11,1
top,11,1
truly,11,1
understand,11,1
wanted,11,1
win,11,1
added,10,1
attention,10,1
available,10,1
battery,10,1
believe,10,1
brother,10,1
characters,10,1
developers,10,1
easier,10,1
enjoying,10,1
entertained,10,1
entertaining,10,1
exactly,10,1
fan,10,1
feature,10,1
handy,10,1
high,10,1
longer,10,1
otherwise,10,1
pc,10,1
person,10,1
rating,10,1
reminds,10,1
space,10,1
touch,10,1
whole,10,1
already,9,1
angry,9,0
background,9,1
black,9,1
blast,9,1
button,9,1
buying,9,1
came,9,1
challenge,9,1
child,9,1
clean,9,1
complete,9,1
dad,9,1
extra,9,1
friend,9,1
frustrating,9,0
hit,9,1
least,9,1
loving,9,1
multiplayer,9,1
name,9,1
number,9,1
open,9,1
profile,9,1
quality,9,1
saying,9,1
simulator,9,1
store,9,1
three,9,1
train,9,1
turn,9,1
ui,9,1
unlock,9,1
wasnt,9,1
waste,9,1
week,9,1
within,9,1
wow,9,1
wrong,9,0
access,8,1
adds,8,1
adventure,8,1
alot,8,1
art,8,1
birds,8,1
children,8,1
city,8,1
cloud,8,1
comic,8,1
coming,8,1
